img_stamp,tf_stamp,skew_ms,corners,charuco_rms_px,coverage,base_board_tx,base_board_ty,base_board_tz,base_board_rvec_x,base_board_rvec_y,base_board_rvec_z,t_std_x,t_std_y,t_std_z,rot_med_deg,reproj_rms_px
1754868187.566650368,1754868187.566650368,0.000,9,0.225,0.128,0.192153,0.069292,0.674733,-1.415182,-1.094905,1.537831,0.229812,0.004608,0.020045,0.472562,0.225056
1754868187.633361664,1754868187.633361664,0.000,9,0.190,0.128,0.192006,0.069269,0.674691,-1.415991,-1.095427,1.536210,0.232360,0.004658,0.020319,0.508633,0.189685
1754868187.833495296,1754868187.833495296,0.000,9,0.214,0.129,0.191967,0.069537,0.674996,-1.416785,-1.094650,1.535813,0.233850,0.004685,0.020492,0.904404,0.214369
1754868187.966917376,1754868187.966917376,0.000,9,0.222,0.129,0.192241,0.069635,0.674936,-1.415599,-1.094059,1.537775,0.234290,0.004690,0.020578,10.453826,0.222448
1754868188.167050496,1754868188.167050496,0.000,9,0.221,0.129,0.192243,0.069525,0.675086,-1.416794,-1.096391,1.536285,0.233675,0.004684,0.020581,19.851308,0.221397
1754868188.300472064,1754868188.300472064,0.000,9,0.191,0.129,0.192417,0.069787,0.675287,-1.415964,-1.092468,1.536019,0.232024,0.004653,0.020498,20.009547,0.191176
1754868188.433893888,1754868188.433893888,0.000,9,0.191,0.128,0.191715,0.069556,0.674754,-1.417739,-1.093536,1.533068,0.229279,0.004612,0.020337,20.082019,0.191010
1754868188.567298048,1754868188.567298048,0.000,9,0.227,0.129,0.192311,0.069888,0.674969,-1.415134,-1.094742,1.538149,0.225445,0.004549,0.020071,20.194599,0.226752
1754868188.700730624,1754868188.700730624,0.000,9,0.231,0.129,0.192235,0.069994,0.674872,-1.415217,-1.091996,1.536382,0.220440,0.004468,0.019710,20.273791,0.231018
1754868188.834163456,1754868188.834163456,0.000,9,0.219,0.129,0.191533,0.069766,0.675048,-1.419303,-1.093695,1.532222,0.214198,0.004367,0.019237,20.283112,0.219038
1754868188.900880128,1754868188.900880128,0.000,9,0.227,0.129,0.192211,0.070163,0.675395,-1.416568,-1.089997,1.535152,0.206629,0.004239,0.018655,20.275317,0.227429
1754868189.034313216,1754868189.034313216,0.000,9,0.211,0.129,0.192185,0.069683,0.675153,-1.415422,-1.090933,1.534939,0.197488,0.004089,0.017958,20.324239,0.210640
1754868189.167746304,1754868189.167746304,0.000,9,0.292,0.129,0.192987,0.070286,0.675242,-1.413724,-1.093810,1.541100,0.186743,0.003902,0.017107,20.332204,0.292463
1754868189.301179648,1754868189.301179648,0.000,9,0.178,0.129,0.191879,0.069842,0.675235,-1.418860,-1.094385,1.532674,0.173910,0.003681,0.016071,20.337679,0.178067
1754868189.434612992,1754868189.434612992,0.000,9,0.222,0.128,0.191966,0.070243,0.674575,-1.416155,-1.088956,1.533982,0.158596,0.003427,0.014847,20.260989,0.222027
1754868189.501329920,1754868189.501329920,0.000,9,0.222,0.129,0.192192,0.070377,0.674731,-1.415960,-1.091767,1.535477,0.139822,0.003106,0.013377,20.416877,0.221814
1754868189.634754816,1754868189.634754816,0.000,9,0.208,0.129,0.191255,0.070050,0.674713,-1.419722,-1.094560,1.531164,0.116039,0.002708,0.011571,20.465222,0.207909
1754868189.768179968,1754868189.768179968,0.000,9,0.191,0.129,0.191399,0.070378,0.674487,-1.419469,-1.095603,1.532603,0.083056,0.002187,0.008988,20.668174,0.191050
1754868189.901604864,1754868189.901604864,0.000,9,0.244,0.129,0.192059,0.070741,0.674653,-1.415588,-1.090952,1.535573,0.002104,0.000976,0.000429,2.266744,0.244243
1754868190.101742336,1754868190.101742336,0.000,9,0.186,0.129,0.191799,0.070768,0.674603,-1.417547,-1.091132,1.533034,0.001097,0.000911,0.000289,0.661342,0.186388
1754868190.235167488,1754868190.235167488,0.000,9,0.201,0.129,0.192244,0.070814,0.674644,-1.415136,-1.090670,1.535821,0.000774,0.000933,0.000286,0.902693,0.201115
1754868190.435304960,1754868190.435304960,0.000,9,0.189,0.129,0.191899,0.070798,0.674518,-1.417550,-1.093792,1.534853,0.000433,0.000928,0.000278,0.306521,0.188958
1754868190.502017280,1754868190.502017280,0.000,9,0.180,0.129,0.191779,0.070750,0.674526,-1.417816,-1.092241,1.533351,0.000417,0.000819,0.000277,0.524907,0.180475
1754868190.635441408,1754868190.635441408,0.000,9,0.195,0.129,0.191704,0.070768,0.674451,-1.417460,-1.091655,1.534024,0.000380,0.000836,0.000277,0.350825,0.194987
1754868190.768865280,1754868190.768865280,0.000,9,0.190,0.129,0.191173,0.070746,0.674447,-1.421224,-1.096418,1.530881,0.000402,0.000598,0.000281,0.343115,0.190311
1754868190.902288896,1754868190.902288896,0.000,9,0.259,0.129,0.192306,0.071034,0.674550,-1.413960,-1.088864,1.537304,0.000397,0.000572,0.000284,0.224287,0.259198
1754868191.035712000,1754868191.035712000,0.000,9,0.207,0.129,0.191231,0.070792,0.674473,-1.420695,-1.093498,1.529264,0.000399,0.000542,0.000282,0.159759,0.206574
1754868191.102423296,1754868191.102423296,0.000,9,0.292,0.129,0.192486,0.070898,0.674657,-1.413219,-1.088665,1.536918,0.000400,0.000555,0.000274,0.277703,0.292131
1754868191.235846144,1754868191.235846144,0.000,9,0.245,0.129,0.192249,0.070563,0.674928,-1.415835,-1.091251,1.534475,0.000403,0.000541,0.000272,0.187522,0.244842
1754868191.435979776,1754868191.435979776,0.000,9,0.187,0.129,0.192147,0.070528,0.674501,-1.415694,-1.094046,1.534613,0.000397,0.000527,0.000277,0.255930,0.187223
1754868191.565866496,1754868191.565866496,0.000,9,0.189,0.129,0.191523,0.070092,0.674506,-1.417790,-1.094185,1.531625,0.000405,0.000500,0.000281,0.225513,0.188659
1754868191.768644096,1754868191.768644096,0.000,9,0.230,0.129,0.191731,0.070319,0.674477,-1.417162,-1.095145,1.533885,0.000407,0.000466,0.000286,0.195193,0.230152
1754868191.903887872,1754868191.903887872,0.000,9,0.212,0.129,0.191700,0.070304,0.674535,-1.417029,-1.093664,1.532981,0.000410,0.000445,0.000287,0.237629,0.211796
